season,player_name,team,role,batting_avg,batting_sr,runs_scored,wickets,bowling_avg,economy
2009,K Goel,PBKS,Bat,15.5,93.23308270676691,124.0,0.0,0.0,0.0
2009,KC Sangakkara,PBKS,Bat,30.181818181818183,102.46913580246914,332.0,0.0,0.0,0.0
2009,KD Karthik,DC,Bat,36.0,132.7188940092166,288.0,0.0,0.0,0.0
2009,KP Pietersen,RCB,All,15.5,109.41176470588236,93.0,4.0,19.75,6.076923076923077
2009,Kamran Khan,RR,Bowl,0.0,0.0,0.0,7.0,18.428571428571427,6.910714285714286
2009,L Balaji,CSK,Bowl,0.0,0.0,0.0,13.0,23.923076923076923,8.330357142857142
2009,LA Carseldine,RR,Bat,20.25,119.11764705882352,81.0,0.0,0.0,0.0
2009,LR Shukla,KKR,All,16.6,97.6470588235294,83.0,3.0,31.666666666666668,6.785714285714286
2009,LRPL Taylor,RCB,Bat,31.11111111111111,134.6153846153846,280.0,0.0,0.0,0.0
2009,M Kartik,KKR,Bowl,0.0,0.0,0.0,4.0,47.25,5.5588235294117645
2009,M Manhas,DC,Bat,25.0,120.96774193548387,75.0,0.0,0.0,0.0
2009,M Muralitharan,CSK,Bowl,0.0,0.0,0.0,14.0,18.357142857142858,5.14
2009,M Vijay,CSK,Bat,15.0,89.55223880597015,60.0,0.0,0.0,0.0
2009,MF Maharoof,DC,Bowl,0.0,0.0,0.0,4.0,14.5,5.8
2009,MK Pandey,RCB,Bat,84.0,142.3728813559322,168.0,0.0,0.0,0.0
2009,ML Hayden,CSK,Bat,52.0,144.81012658227849,572.0,0.0,0.0,0.0
2009,MM Patel,RR,Bowl,0.0,0.0,0.0,16.0,13.6875,6.287081339712918
2009,MN van Wyk,KKR,Bat,55.666666666666664,126.51515151515152,167.0,0.0,0.0,0.0
2009,MS Dhoni,CSK,Bat,41.5,127.20306513409963,332.0,0.0,0.0,0.0
2009,MS Gony,CSK,Bowl,0.0,0.0,0.0,5.0,33.2,9.764705882352942
2009,MV Boucher,RCB,Bat,30.0,129.31034482758622,150.0,0.0,0.0,0.0
2009,NV Ojha,RR,Bat,24.0,116.66666666666667,168.0,0.0,0.0,0.0
2009,P Kumar,RCB,All,13.0,141.30434782608697,65.0,13.0,29.23076923076923,7.651006711409396
2009,PA Patel,CSK,Bat,15.777777777777779,112.6984126984127,142.0,0.0,0.0,0.0
2009,PJ Sangwan,DC,Bowl,0.0,0.0,0.0,15.0,22.6,7.264285714285714
2009,PP Chawla,PBKS,Bowl,0.0,0.0,0.0,12.0,25.25,6.758364312267657
2009,PP Ojha,DC_OLD,Bowl,0.0,0.0,0.0,18.0,19.0,6.392523364485982
2009,PR Shah,MI,Bat,17.666666666666668,103.921568627451,53.0,0.0,0.0,0.0
2009,R Bhatia,DC,Bowl,0.0,0.0,0.0,10.0,14.2,6.553846153846154
2009,R Dravid,RCB,Bat,22.583333333333332,115.81196581196582,271.0,0.0,0.0,0.0
2009,R Vinay Kumar,RCB,Bowl,0.0,0.0,0.0,9.0,29.555555555555557,8.22680412371134
2009,RA Jadeja,RR,All,26.818181818181817,110.90225563909775,295.0,6.0,24.333333333333332,6.257142857142857
2009,RE van der Merwe,RCB,All,15.25,124.48979591836735,122.0,9.0,27.0,7.147058823529412
2009,RG Sharma,DC_OLD,All,27.846153846153847,114.92063492063491,362.0,11.0,14.454545454545455,6.913043478260869
2009,RJ Harris,DC_OLD,Bowl,0.0,0.0,0.0,6.0,37.0,7.161290322580645
2009,RJ Quiney,RR,Bat,14.714285714285714,100.98039215686273,103.0,0.0,0.0,0.0
2009,RP Singh,DC_OLD,Bowl,0.0,0.0,0.0,23.0,16.782608695652176,6.46927374301676
2009,RR Powar,PBKS,Bowl,0.0,0.0,0.0,5.0,25.0,5.9523809523809526
2009,RS Bopara,PBKS,Bat,27.6,115.96638655462186,138.0,0.0,0.0,0.0
2009,RV Uthappa,RCB,Bat,15.909090909090908,102.94117647058823,175.0,0.0,0.0,0.0
2009,S Badrinath,CSK,Bat,19.666666666666668,107.92682926829269,177.0,0.0,0.0,0.0
2009,S Sohal,PBKS,Bat,14.375,123.65591397849462,115.0,0.0,0.0,0.0
2009,S Sreesanth,PBKS,Bowl,0.0,0.0,0.0,6.0,30.333333333333332,7.913043478260869
2009,S Tyagi,CSK,Bowl,0.0,0.0,0.0,5.0,26.2,6.894736842105263
2009,SA Asnodkar,RR,Bat,12.25,105.3763440860215,98.0,0.0,0.0,0.0
2009,SB Jakati,CSK,Bowl,0.0,0.0,0.0,13.0,16.615384615384617,7.448275862068965
2009,SB Styris,DC_OLD,Bowl,0.0,0.0,0.0,5.0,12.6,7.875
2009,SC Ganguly,KKR,Bat,17.181818181818183,91.30434782608695,189.0,0.0,0.0,0.0
2009,SK Raina,CSK,All,31.0,140.9090909090909,434.0,7.0,23.285714285714285,5.8915662650602405
2009,SK Trivedi,RR,Bowl,0.0,0.0,0.0,6.0,24.666666666666668,7.4
2009,SK Warne,RR,All,13.5,93.10344827586206,108.0,13.0,26.76923076923077,6.96
2009,SL Malinga,MI,Bowl,0.0,0.0,0.0,18.0,15.61111111111111,5.6767676767676765
2009,SM Harwood,RR,Bowl,0.0,0.0,0.0,3.0,20.333333333333332,6.1
2009,SM Katich,PBKS,Bat,16.11111111111111,123.93162393162393,145.0,0.0,0.0,0.0
2009,SP Goswami,RCB,Bat,26.5,88.33333333333333,53.0,0.0,0.0,0.0
2009,SR Tendulkar,MI,Bat,33.09090909090909,120.13201320132015,364.0,0.0,0.0,0.0
2009,ST Jayasuriya,MI,All,18.416666666666668,115.10416666666667,221.0,7.0,22.0,8.105263157894736
2009,Shoaib Ahmed,DC_OLD,Bowl,0.0,0.0,0.0,5.0,30.2,8.882352941176471
2009,T Thushara,CSK,Bowl,0.0,0.0,0.0,3.0,19.333333333333332,7.25
2009,TL Suman,DC_OLD,All,23.7,124.73684210526316,237.0,5.0,21.4,7.133333333333334
2009,TM Dilshan,DC,Bat,41.8,122.58064516129032,418.0,0.0,0.0,0.0
2009,V Kohli,RCB,Bat,22.363636363636363,112.32876712328768,246.0,0.0,0.0,0.0
2009,V Sehwag,DC,Bat,19.8,143.47826086956522,198.0,0.0,0.0,0.0
2009,WA Mota,PBKS,Bowl,0.0,0.0,0.0,3.0,19.666666666666668,6.555555555555555
2009,WP Saha,KKR,Bat,24.0,175.609756097561,72.0,0.0,0.0,0.0
2009,WPUJC Vaas,DC_OLD,Bowl,0.0,0.0,0.0,4.0,15.25,7.625
2009,Y Venugopal Rao,DC_OLD,All,11.272727272727273,108.77192982456141,124.0,4.0,30.0,8.0
2009,YA Abdulla,PBKS,Bowl,0.0,0.0,0.0,14.0,16.071428571428573,8.035714285714286
