id,season,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue,city,stage
702,2019,RCB,KKR,KKR,field,KKR,0,5,M.Chinnaswamy Stadium,Bengaluru,Unknown
703,2019,CSK,PBKS,CSK,bat,CSK,22,0,MA Chidambaram Stadium,Chennai,Unknown
704,2019,MI,SRH,SRH,field,MI,40,0,Rajiv Gandhi International Stadium,Hyderabad,Unknown
705,2019,RCB,DC,DC,field,DC,0,4,M.Chinnaswamy Stadium,Bengaluru,Unknown
706,2019,RR,KKR,KKR,field,KKR,0,8,Sawai Mansingh Stadium,Jaipur,Unknown
707,2019,SRH,PBKS,PBKS,field,PBKS,0,6,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown
708,2019,KKR,CSK,CSK,field,CSK,0,7,MA Chidambaram Stadium,Chennai,Unknown
709,2019,PBKS,MI,MI,field,MI,0,3,Wankhede Stadium,Mumbai,Unknown
710,2019,RR,CSK,CSK,field,CSK,0,4,Sawai Mansingh Stadium,Jaipur,Unknown
711,2019,KKR,DC,DC,field,DC,0,7,Eden Gardens,Kolkata,Unknown
712,2019,MI,RR,RR,field,RR,0,4,Wankhede Stadium,Mumbai,Unknown
713,2019,PBKS,RCB,RCB,field,RCB,0,8,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown
714,2019,KKR,CSK,CSK,field,CSK,0,5,Eden Gardens,Kolkata,Unknown
715,2019,DC,SRH,SRH,field,DC,39,0,Rajiv Gandhi International Stadium,Hyderabad,Unknown
716,2019,RCB,MI,MI,field,MI,0,5,Wankhede Stadium,Mumbai,Unknown
717,2019,PBKS,RR,RR,field,PBKS,12,0,Punjab Cricket Association IS Bindra Stadium,Chandigarh,Unknown
